customer_id,name,age,gender,marital_status,number_of_dependents,annual_income,occupation,health_status,smoking_status,policy_type,coverage_amount,monthly_premium,policy_start_date
mostly88-ab02-43a7-8fe5-5121b6085a62,Aaron Allen,53,Female,Married,3,120000,Electrical Engineer,Excellent,Former smoker,Universal Life,700000,325.9,7/1/22
mostlyd9-807b-4b55-ba15-e605f31d46ad,Carol Sanchez,26,Female,Married,1,54000,Graphic Designer,Good,Former smoker,Whole Life,100000,67.4,5/19/22
mostly90-b192-4052-8b43-79a3b9052900,Mark Brown,47,Female,Single,0,52000,School Principal,Good,Non-smoker,Term Life,250000,60.7,8/11/22
mostly63-89d3-4c9b-bfa6-a83134d3eaa6,Donald Harris,47,Male,Single,0,62000,Marketing Specialist,Good,Current smoker,Term Life,150000,38.1,11/3/22
mostly31-5880-4d5a-99e3-29254d2d9ea9,Victoria Anderson,52,Female,Married,3,155000,Marketing Director,Excellent,Non-smoker,Whole Life,900000,126.3,10/20/22
mostly23-207a-4023-934e-b24ca7aeeb13,Cynthia Moore,30,Male,Married,3,72000,Data Analyst,Excellent,Non-smoker,Term Life,520000,88.6,4/3/22
mostly62-f5dc-46f3-aec8-39d1b24d43f4,Donna Rogers,52,Male,Married,2,130000,Customer Support,Excellent,Non-smoker,Universal Life,300000,229.5,1/18/22
mostly90-cef3-4c05-86b8-ab8bce5e5a43,Pamela Gray,65,Male,Widowed,2,52000,Financial Analyst,Fair,Current smoker,Term Life,300000,345.2,12/20/22
mostly50-122c-4830-aa48-e293d37cc96c,Donald Jackson,39,Female,Single,0,52000,Sales Manager,Good,Non-smoker,Term Life,100000,38.4,4/9/22
mostly2b-ed71-4810-b818-cd9179f36f82,William Brown,37,Male,Divorced,2,120000,Customer Support,Good,Former smoker,Universal Life,500000,267.5,2/28/22
mostly93-834e-4934-a46a-55c984437325,Pamela Reyes,65,Female,Widowed,1,42000,Logistics Coordinator,Fair,Former smoker,Whole Life,300000,358.9,9/30/22
mostly4a-b225-4e83-b4ea-9aa55bc61519,Kathleen Morgan,41,Female,Divorced,0,86000,Architect,Excellent,Non-smoker,Term Life,220000,110.2,3/9/22
mostly81-96d2-4eae-a125-d20540cd99bb,Alice Sanchez,41,Female,Divorced,2,125000,Financial Analyst,Excellent,Non-smoker,Universal Life,550000,309.7,7/1/22
mostly15-df7b-43f0-a508-47a00d2877c0,Raymond Reed,57,Male,Married,3,120000,School Counselor,Good,Former smoker,Universal Life,700000,573,7/12/22
mostly5b-f39c-4061-8935-1cc9532be670,Jeffrey Flores,28,Female,Married,2,120000,Marketing Specialist,Good,Non-smoker,Whole Life,100000,265.8,11/20/22
mostlyb1-c65e-4689-8828-3e9a73777ca9,James Scott,42,Female,Divorced,0,46000,Accountant,Good,Non-smoker,Term Life,100000,55.4,9/12/22
mostlyd0-5bab-42e0-8c2e-09fcc59ca2c1,Patricia Cooper,58,Male,Married,3,78000,Operations Manager,Good,Non-smoker,Universal Life,300000,115.7,7/1/22
mostly43-7538-4bbe-8e8e-d1669d3aca23,Kenneth Foster,49,Female,Married,2,96000,Electrical Engineer,Good,Non-smoker,Universal Life,750000,688.2,1/16/22
mostly4e-5596-4e74-b47b-9c14faac62c1,Daniel Harris,39,Male,Single,0,68000,HR Specialist,Good,Non-smoker,Term Life,220000,78,12/20/22
mostlyd6-5e85-4e15-9048-aa58e8082c57,Henry Baker,37,Female,Single,0,98000,Data Analyst,Good,Non-smoker,Term Life,260000,75,4/7/22
mostly59-5816-4171-aafa-669e1ec0f039,Nicholas Roberts,53,Female,Married,2,52000,Financial Analyst,Good,Non-smoker,Whole Life,500000,187.3,12/20/22
mostly64-feed-4771-9754-38b91d37ee51,Betty Nelson,39,Female,Single,0,52000,Graphic Designer,Good,Non-smoker,Term Life,150000,71.6,2/28/22
mostlyab-33d8-4b3b-8945-e87151715be3,Pamela Martin,38,Male,Married,3,165000,Software Developer,Excellent,Non-smoker,Universal Life,500000,127.8,5/14/22
mostly95-7fb4-45ca-8bbe-8ae8c60e9dac,Sophia Martinez,55,Female,Married,2,190000,Operations Manager,Fair,Non-smoker,Universal Life,200000,320,12/19/22
mostlycc-d24c-4db6-af2e-11efc0b6054f,Carol Thomas,26,Female,Married,2,72000,Project Manager,Good,Non-smoker,Universal Life,350000,120,5/22/22
mostlyf3-4d09-4610-b31c-ae13e694141f,Susan Ward,54,Male,Married,2,88000,Sales Manager,Excellent,Non-smoker,Term Life,250000,426.7,4/28/22
mostly9a-72c6-4852-9803-d79d6e17a8c7,Diane King,26,Male,Married,1,64000,Logistics Coordinator,Excellent,Non-smoker,Term Life,220000,75.7,3/29/22
mostlyf1-0ce3-4c1a-83f1-d56a575b9c31,Jonathan Rogers,30,Male,Married,2,88000,Operations Manager,Good,Former smoker,Variable Life,580000,429.9,2/28/22
mostly81-df3e-4173-a3df-b27378898bf6,Anthony Lewis,47,Female,Divorced,3,46000,Project Manager,Good,Non-smoker,Term Life,220000,120.2,3/7/22
mostly34-7bb7-4ebf-b471-f715c1c9f7fe,Olivia Brown,52,Female,Single,0,62000,Marketing Coordinator,Excellent,Non-smoker,Term Life,200000,60.8,5/15/22
mostlydc-5cc7-4c2a-a9f0-4cf936922d6e,Matthew Martinez,26,Female,Married,1,72000,Data Analyst,Fair,Former smoker,Whole Life,150000,75.5,7/2/22
mostly8f-c4e5-4871-8a3b-d555ff95497f,David Sanchez,26,Female,Married,0,42000,Customer Support,Excellent,Non-smoker,Whole Life,350000,485.6,10/17/22
mostlya7-7b02-4c89-95d7-268501fb8c1e,Heather Gonzalez,48,Female,Married,2,85000,Project Manager,Fair,Non-smoker,Whole Life,520000,328.6,6/22/22
mostly9e-ef84-4da1-9e09-93743390c92e,Carolyn Cox,36,Male,Single,0,52000,Software Developer,Excellent,Non-smoker,Term Life,150000,59.6,3/14/22
mostly57-f2d0-4ba1-aa11-d5645a0335d3,Jeffrey Brooks,52,Female,Married,2,88000,Project Manager,Excellent,Non-smoker,Universal Life,750000,212.6,5/7/22
mostly53-4380-4d8e-bc33-0d647eec3677,Alexander Kelly,46,Male,Single,1,72000,Mechanical Engineer,Good,Non-smoker,Term Life,280000,96.4,7/9/22
mostly7b-0f3f-4613-95e1-7cd4a47ab8c0,Janet Reynolds,54,Female,Divorced,2,112000,Research Assistant,Excellent,Non-smoker,Universal Life,500000,120.1,5/22/22
mostly02-1a37-4112-8ba7-e8c79b9d73f0,Barbara Gonzalez,27,Male,Single,0,45000,Attorney,Good,Non-smoker,Term Life,160000,71.9,12/20/22
mostly3e-36a6-49ff-8da9-54bf78c7c1c2,Kelly Powell,33,Female,Single,0,72000,Marketing Coordinator,Good,Former smoker,Term Life,200000,90,9/22/22
mostlyb2-d79f-4670-a145-a7f70734e70f,Jack Ramirez,56,Female,Single,0,78000,Sales Manager,Excellent,Non-smoker,Universal Life,200000,95.3,5/2/22
mostly8f-e24e-4a40-b31a-a5c4561c5aa7,Olivia Brown,38,Female,Single,0,48000,Content Creator,Excellent,Non-smoker,Term Life,100000,55.8,12/20/22
mostly69-3cf2-4390-b561-2883cb7af736,Maria Nelson,48,Male,Married,1,75000,Software Developer,Good,Non-smoker,Term Life,260000,126.6,6/15/22
mostly2d-64c8-4fcb-8b65-afc7c1785055,Henry Lopez,30,Female,Married,3,120000,Electrical Engineer,Good,Non-smoker,Universal Life,1200000,152.4,5/30/22
mostly15-d182-411d-b4e0-68d548dde07c,Rebecca Carter,27,Male,Married,2,98000,Sales Director,Excellent,Non-smoker,Whole Life,850000,362.6,11/3/22
mostly85-f2db-472d-afe5-4d27a7b86774,Richard Richardson,38,Female,Married,0,61000,Customer Support,Excellent,Non-smoker,Term Life,350000,106.5,5/8/22
