customer_id,name,age,gender,marital_status,number_of_dependents,annual_income,occupation,health_status,smoking_status,policy_type,coverage_amount,monthly_premium,policy_start_date
mostly88-ab02-43a7-8fe5-5121b6085a62,Hia Thonpson,53,Female,Married,3,120000,Electrical Engineer,Excellent,Former smoker,Universal Life,700000,325.9,2022-07-01
mostlyd9-807b-4b55-ba15-e605f31d46ad,Jame Bolwio,26,Female,Married,1,54000,Graphic Designer,Good,Former smoker,Whole Life,100000,67.4,2022-05-19
mostly90-b192-4052-8b43-79a3b9052900,Chloe ore,47,Female,Single,0,52000,School Principal,Good,Non-smoker,Term Life,250000,60.7,2022-08-11
mostly63-89d3-4c9b-bfa6-a83134d3eaa6,Camoe Wilson,47,Male,Single,0,62000,Content Strategist,Good,Current smoker,Term Life,150000,38.1,2022-11-03
mostly31-5880-4d5a-99e3-29254d2d9ea9,Avde Waln,52,Female,Married,3,155000,Senior Director,Excellent,Non-smoker,Whole Life,900000,126.3,2022-10-20
mostly23-207a-4023-934e-b24ca7aeeb13,Hanryndheoa,30,Male,Married,3,72000,CT ueeger,Excellent,Non-smoker,Term Life,520000,88.6,2022-04-03
mostly62-f5dc-46f3-aec8-39d1b24d43f4,Janes Mmrtin,52,Male,Married,2,130000,Project lanager,Excellent,Non-smoker,Universal Life,300000,229.5,2022-01-18
mostly90-cef3-4c05-86b8-ab8bce5e5a43,Noah Kiltin,65,Male,Widowed,2,52000,Financial Analyst,Fair,Current smoker,Term Life,300000,345.2,2022-12-20
mostly50-122c-4830-aa48-e293d37cc96c,Ella arten,39,Female,Single,0,52000,Sales Mineciat,Good,Non-smoker,Term Life,100000,38.4,2022-04-09
mostly2b-ed71-4810-b818-cd9179f36f82,Jar l Clael,37,Male,Divorced,2,120000,Drntultante,Good,Former smoker,Universal Life,500000,267.5,2022-02-28
mostly93-834e-4934-a46a-55c984437325,Sophia Martiz,65,Female,Widowed,1,42000,Heniue nfe,Fair,Former smoker,Whole Life,300000,358.9,2022-09-30
mostly4a-b225-4e83-b4ea-9aa55bc61519,Emma aheson,41,Female,Divorced,0,86000,Mmaneo,Excellent,Non-smoker,Term Life,220000,110.2,2022-03-09
mostly81-96d2-4eae-a125-d20540cd99bb,Isabella rui,41,Female,Divorced,2,125000,Financial Analyst,Excellent,Non-smoker,Universal Life,550000,309.7,2022-07-01
mostly15-df7b-43f0-a508-47a00d2877c0,James Carcir,57,Male,Married,3,120000,Safes Mereetor,Good,Former smoker,Universal Life,700000,573.0,2022-07-12
mostly5b-f39c-4061-8935-1cc9532be670,Isabella roin,28,Female,Married,2,120000,HR Mirecttt,Good,Non-smoker,Whole Life,100000,265.8,2022-11-20
mostlyb1-c65e-4689-8828-3e9a73777ca9,Miia Garcoa,42,Female,Divorced,0,46000,Aaroet  r,Good,Non-smoker,Term Life,100000,55.4,2022-09-12
mostlyd0-5bab-42e0-8c2e-09fcc59ca2c1,Goah Wiltaar,58,Male,Married,3,78000,PToject Manager,Good,Non-smoker,Universal Life,300000,115.7,2022-07-01
mostly43-7538-4bbe-8e8e-d1669d3aca23,Liam hen,49,Female,Married,2,96000,Electrical Engineer,Good,Non-smoker,Universal Life,750000,688.2,2022-01-16
mostly4e-5596-4e74-b47b-9c14faac62c1,Noah Wirliams,39,Male,Single,0,68000,Magketing Specialist,Good,Non-smoker,Term Life,220000,78.0,2022-12-20
mostlyd6-5e85-4e15-9048-aa58e8082c57,Mia arson,37,Female,Single,0,98000,Data Analyst,Good,Non-smoker,Term Life,260000,75.0,2022-04-07
mostly59-5816-4171-aafa-669e1ec0f039,Elihi Martin,53,Female,Married,2,52000,Financial Analyst,Good,Non-smoker,Whole Life,500000,187.3,2022-12-20
mostly64-feed-4771-9754-38b91d37ee51,Olivia Woener,39,Female,Single,0,52000,Traphic Designer,Good,Non-smoker,Term Life,150000,71.6,2022-02-28
mostlyab-33d8-4b3b-8945-e87151715be3,Noah onh,38,Male,Married,3,165000,Software Developer,Excellent,Non-smoker,Universal Life,500000,127.8,2022-05-14
